	from_Z_0	from_Z_1	from_Z_2	from_Z_3	from_Z_4	from_Z_5	from_Z_6	from_Z_7	from_Z_8	from_Z_9	from_Z_10	from_Z_11	from_Z_12	from_Z_13	from_Z_14	from_Z_15	from_Z_16	from_Z_17	from_Z_18	from_Z_19	from_Z_20	from_Z_21	from_Z_22	from_Z_23	from_Z_24	from_Z_25	from_Z_26	from_Z_27	from_Z_28	from_Z_29	from_Z_30	from_Z_31	from_Z_32	from_Z_33	from_Z_34	from_Z_35	from_Z_36	from_Z_37	from_Z_38	from_Z_39
to_Z_20	0.0270484618051	0.0403642964756	0.0425319486424	0.028320323631599996	0.0185087514257	0.045222423290699997	0.0246090950032	0.0357859744953	0.0302831249276	0.022725636567599995	0.031378334627700004	0.022635498972499998	0.028829014535400002	0.0384661360868	0.04610461624369999	0.0182022401275	0.0274280391275	0.027801954076	0.041302242333400005	0.0450483196103	0.0185338945227	0.0313004317743	0.034180107426	0.0167139759885	0.0259012704823	0.035505949622	0.022000134394	0.0267497933951	0.04555877805959999	0.0326013516715	0.0290041451549	0.037162529127800006	0.024290258473400002	0.0313774594319	0.016883817920899998	0.0260833914846	0.0933223310032	0.024597495845499997	0.041092792662	0.0214470240173
to_Z_21	0.0160025802973	0.035715922177900004	0.0172295903495	0.028223170062599997	0.016333875422100002	0.0402074238474	0.019765290067099997	0.0344343112139	0.017198154778900004	0.019893078680599998	0.0232417712008	0.013089457924600001	0.009241013523750001	0.015053511148000001	0.0577949611326	0.013251324059399999	0.019204871829500002	0.026032554837500003	0.0125615617631	0.0156830766048	0.015051158366300001	0.0110902636574	0.033919147297	0.0183128449851	0.021488039632900004	0.0163004733808	0.0525541192981	0.013843260490999999	0.013683527472700002	0.0478573602283	0.024329303838700002	0.013853309662799998	0.0201618971847	0.029080791803299998	0.015408011017200001	0.0103194407312	0.021020849925199998	0.07160129322660001	0.00882685308726	0.01843130337
to_Z_22	0.0171863637194	0.023813518360599997	0.0250566259344	0.02059299895	0.055607221509499996	0.0455125105748	0.0257887441537	0.014799384617899999	0.026690721694	0.0222936922478	0.0166655623962	0.320160911978	0.0285894148782	0.038083828052500004	0.0247653113507	0.012956902199200001	0.0332800819994	0.0227579304856	0.0210921977003	0.014134390897800001	0.0125555619508	0.024566114766000003	0.020121938999900002	0.022020562607	0.021163902268599998	0.0246765950489	0.014636397895700001	0.029870537623099998	0.0578031371738	0.030828666618	0.0610811565802	0.0143952136268	0.018697202155299998	0.0143999866544	0.036583017826699996	0.0154890449793	0.022536311918900005	0.0127643777304	0.0171506790903	0.040277251639099995
to_Z_23	0.0203095984477	0.0112736391784	0.019317742356799998	0.015807220468600003	0.0361447618047	0.0261265830702	0.0214588358758	0.00944142347965	0.0168295827688	0.019559983724099998	0.0114765269372	0.0105582732749	0.00589852180451	0.012687615313799997	0.0231082303279	0.0109868000642	0.013380917752300001	0.0102491833673	0.0165126705929	0.007374068899159999	0.00915179026798	0.0239476685057	0.014268883161100001	0.0152170942865	0.019738958201200002	0.011926950324600002	0.009230240254079999	0.015050948331200001	0.0150768327416	0.0177343971929	0.010515517289799999	0.010807997284799998	0.0129647222576	0.0198900491193	0.014464103759700002	0.0187582885021	0.0119416964515	0.022086200687799998	0.00855322630579	0.0160672218539
to_Z_24	0.017389333877	0.0274182955637	0.0413772369051	0.014607027397200002	0.017858997915099997	0.0159797901125	0.019533712252	0.026529720951900003	0.0173211562132	0.023582333968500003	0.0269679244173	0.0130145772721	0.019433894217299998	0.024974750745900002	0.0318251603106	0.015791539232999998	0.024480146856299997	0.0142501419542	0.059990438030199995	0.0278471249114	0.0138612792038	0.0179957082451	0.0311587579154	0.025324621417999998	0.024365191587400005	0.0252624478854	0.018419356295099998	0.018866408695	0.0157091078388	0.0153820567695	0.0168154437757	0.0189427518907	0.021007477582	0.016822104144700003	0.0221866665085	0.047845498520300005	0.017421857662599998	0.0519922377936	0.0160098258438	0.0401748851257
to_Z_25	0.018653128195099997	0.010781374733500002	0.0175116994878	0.0151181559838	0.0215103547045	0.01359937144	0.0199864156148	0.0228939158895	0.0166996950851	0.0181717316783	0.0319882472834	0.010531730607200002	0.0108209647603	0.0119978336122	0.0186531421898	0.013167368192200001	0.0204847522639	0.011855500596	0.009627499150649999	0.0107674909788	0.0148142572381	0.010668982685799999	0.017216158533	0.0229125289058	0.022202776115700002	0.0173763276491	0.014673653948	0.0150733297722	0.013178561725399999	0.0379382253866	0.0724560190416	0.020146926997799998	0.012876321444000001	0.0162043765842	0.023788459472900002	0.0129430675321	0.0108443563309	0.0109228903989	0.00703580492256	0.009649019039809999
to_Z_26	0.0247226460498	0.0333880727965	0.0249157786648	0.0266137255893	0.0169620259941	0.017179121521100002	0.0210875357582	0.034060366264599996	0.024323187157	0.028205174706099997	0.0339091887208	0.0181777065907	0.017677642352400002	0.022777930465599998	0.019688200742400002	0.022569417449199998	0.0456962024114	0.023635716862	0.0409640564644	0.029006840290599998	0.0227495362885	0.021044662602400004	0.0239196841458	0.038480598345699994	0.025739234431500002	0.0365498553683	0.0213055293304	0.024862894304499998	0.01842068021	0.0182235946	0.0257941810447	0.020562466613700002	0.050238616510699996	0.0347779424714	0.0310269838784	0.019683889962099996	0.017472263754900002	0.026432121992799998	0.021788747110999998	0.0216826008979
to_Z_27	0.0379601575756	0.014467636131400001	0.0169918370668	0.0298660582246	0.0163165283918	0.019350968223900002	0.0471041561844	0.0295631979275	0.0203214718751	0.0248496464711	0.0231502177794	0.012290334334200001	0.00590340667963	0.0161198964557	0.059472632794399995	0.012872878637700001	0.020475913738400003	0.0197264981627	0.0594264594814	0.036415651178000004	0.0118425086187	0.020566477396	0.0392250561438	0.0164758091856	0.0235865305932	0.0155709828106	0.021313906088	0.0204329514853	0.0164350800464	0.00824158522565	0.0429105577154	0.0231828138582	0.006120094299989999	0.0167801133039	0.011866411262700001	0.011054024478500001	0.0151854880668	0.0205465236572	0.008575301512899999	0.0179533621421
to_Z_28	0.0179334791485	0.008363212565239999	0.016883221555	0.0127972043766	0.0150754820101	0.00846829823782	0.020800143037299997	0.0184847813702	0.0192497225072	0.023298464358099995	0.0191479683838	0.017763664836400003	0.0177890151117	0.013435727960299999	0.0173080733339	0.0315935915405	0.0156609581612	0.0265073855163	0.009563596907469999	0.00649449310316	0.0650852192331	0.011858971300899999	0.022776540808099998	0.00913587944405	0.024372838291500002	0.0170963793151	0.0381100678626	0.0358415427885	0.0170138186153	0.0101335466853	0.0137356709327	0.013539512734100001	0.014439318088	0.0210769343297	0.019488501372299998	0.015781306407899997	0.0142160556788	0.0130574381647	0.0139533288279	0.019512787567799998
to_Z_29	0.0269548442387	0.026000107666500002	0.0339687036531	0.0325928614025	0.108331648127	0.0533898931754	0.023206008169499998	0.05289760514380001	0.0202696084778	0.0218212814823	0.0231940791392	0.0186974462882	0.0514056164106	0.06090424309	0.0212562140452	0.0133145480619	0.0522132782325	0.0193705165363	0.0304767037067	0.067582240165	0.0207238501025	0.037935048180499996	0.026903620892599997	0.0202436594043	0.0319475463586	0.0257978208409	0.0395365680249	0.0336595124921	0.0210459121404	0.0575789281884	0.0227157047475	0.014752260323000001	0.0141696742711	0.038468369310699996	0.02883147327	0.0128519535354	0.0758511896204	0.013944426432399999	0.0125306269909	0.0297878942162
to_Z_30	0.0150257658812	0.00940660055705	0.015846019957700002	0.0182684803413	0.0149712765796	0.0193665954822	0.0199277380358	0.013188987876799998	0.0164809276632	0.019375561113900003	0.015002856227500002	0.00991521941026	0.007718863062380001	0.0124527458305	0.0202139476118	0.010987989196899998	0.016115870164000002	0.011570003902499999	0.012113647234799999	0.012355844623700001	0.008929478897899999	0.00999066548091	0.0420987497793	0.00942980741154	0.020022393613900003	0.0134610835705	0.010337379308100001	0.013309322389200002	0.013105918141700002	0.00756399919966	0.012203243500099999	0.0113094867475	0.0076493131098	0.017632272524400004	0.010166327910899999	0.0203094557613	0.010699152729	0.018481775566400002	0.0132617558059	0.019488610635099997
to_Z_31	0.028911082530799995	0.037141317846	0.025959137755299996	0.0318657422493	0.051647499894400005	0.0315496031043	0.026439200851699998	0.035472117214	0.0684404432891	0.0296208601554	0.036963497508199994	0.027143984931799998	0.0406801422704	0.0257459859251	0.04874809121569999	0.042145466543800005	0.021074162312400002	0.04888646084869999	0.032414655432	0.0283519713031	0.061197680817499996	0.042696702928099996	0.028354253187599997	0.0370903316074	0.022834759803800002	0.0309546853772	0.0184841051593	0.063113044935	0.0329029129017	0.0459487218083	0.029348951359299998	0.031067812472299998	0.0669557481703	0.0301589435903	0.056393879380999996	0.0234193460685	0.0247387465576	0.0262824679978	0.026970631392099997	0.026676970828
to_Z_32	0.020907897289799998	0.028843043810400003	0.014930670436	0.0506846797668	0.0247205286039	0.022981643810400004	0.0185891394442	0.035304152418199994	0.016653970934999998	0.0190299995164	0.037394767107	0.0102480159416	0.007767689578119999	0.013288045350799998	0.0134110934938	0.010832414289799999	0.0177191578878	0.00886411510525	0.0078982010706	0.00855199087161	0.009967046236790001	0.010911996212299999	0.0364737180723	0.0138847060606	0.023002374978400002	0.0137724536807	0.0214700881376	0.013268263994	0.0133531080584	0.0289384999279	0.0165866149544	0.0184065898465	0.0107190125449	0.0145117791108	0.016335196027899998	0.014329509478200001	0.0117192737323	0.0335550342622	0.00764477120072	0.015040266917
