	name	rush	fix
320	Hypnoskull	0.992770265145	1.76221434102
321	Max Frost	0.973376746601	2.22732604395
322	Magistrates	0.994447642902	1.00004940053
323	Agalloch	0.997870183331	1.61636641296
324	Prince Paul	0.970849186089	2.00282340227
325	Aqueduct	0.973580761469	2.00102207416
326	Busta Rhymes	0.988613258121	1.76219954472
327	50 Cent	0.993347593853	1.68374343305
328	The Smashing Pumpkins	0.995425733813	1.68000518175
329	Harvey Milk	0.990081301964	1.95325770363
330	Blondie	0.99262604579	1.73730666456
331	Dire Straits	0.994023678786	1.70230420984
332	Charlotte	0.958227904588	2.31009195593
333	Death Cab for Cutie	0.995129263959	1.67403588648
334	Pavement	0.995182785067	1.698383129
335	Snoop Dogg	0.992453337585	1.74195819331
336	Dilated Peoples	0.988757415596	1.84853962717
337	The Jesus and Mary Chain	0.993710756645	1.71079265892
338	Foo Fighters	0.996320491086	1.63830837716
339	D12	0.991944351669	1.69735922004
340	Eminem	0.994305208252	1.7676433308
341	Fabolous	0.991604316586	1.77008842739
342	The Shins	0.992746062759	1.6875381527
343	Static-X	0.989648831973	1.82467700481
344	Dr Misio	0.988252639798	1.97368537462
345	J-Kwon	0.982608538156	1.69279303701
346	Beck	0.993706251295	1.67793656484
347	Belzebong	0.993147522481	1.67665327341
348	Clinic	0.992075920024	1.71774124294
349	Björk	0.997038971016	1.70667708902
350	Badly Drawn Boy	0.990158734467	1.70725925286
351	Loverboy	0.983746309665	1.71701128405
352	Marta Podulka	0.969399249609	2.35932912275
353	Jay-Z	0.994772022727	1.70191134348
354	Sum 41	0.992931066124	1.75630231436
355	The B-52's	0.989285979549	1.89728109989
356	Fountains of Wayne	0.984130023708	1.76759659257
357	Polaris	0.988410779325	1.75662653419
358	Michelle Branch	0.992394438665	1.67780187334
359	Ice Cube	0.990633494006	1.89666366379
360	Zero 7	0.992120456608	1.76993917808
361	Super Furry Animals	0.990663153524	1.74402787504
362	N.W.A	0.991744505845	1.74823961594
363	Interpol	0.996170521322	1.67796195199
364	The Flaming Lips	0.995595662448	1.66153220838
365	Belle and Sebastian	0.996319565923	1.6354913092
366	Snow Patrol	0.993800455815	1.69159235186
367	Nirvana	0.99682866231	1.62400980326
368	Stephen Malkmus	0.993381616275	1.60734123189
369	Danger Mouse	0.990859407845	1.69316384773
370	Depeche Mode	0.996735319766	1.65646294874
371	Elliott Smith	0.990338078553	1.96970032847
372	The Streets	0.994562535291	1.66648086583
373	No Doubt	0.994553317612	1.67424331024
374	Air Liquide	0.975182714054	1.98020506817
375	Juliet	0.984972081064	1.71318950846
376	Yeah Yeah Yeahs	0.994164415128	1.65801379884
377	Pete Rock & C.L. Smooth	0.990859636257	1.82162988103
378	Failure	0.992772173837	1.87936110202
379	T.I.	0.993132954976	1.72410977771
380	Fiona Apple	0.996276339204	1.65590716902
381	Galaxie 500	0.992962930806	1.76867957561
382	A Camp	0.986737438381	1.84638295447
383	Benny Goodman	0.985147284988	1.85158200798
384	Kylie Minogue	0.997287198446	1.65536287516
385	Juvenile	0.983489383023	1.88108342104
386	Grandaddy	0.9889309167	1.77197574339
387	Passenger of Shit	0.96935825934	2.45451273993
388	Big Black	0.99321524175	1.67790716996
389	Lil' Scrappy	0.989080613648	1.73033080315
390	Gabriel Rios	0.975518126822	1.83578935292
391	Mýa	0.991523951271	1.76178384748
392	The Housemartins	0.982639607549	1.77456433251
393	Audio Bullys	0.986765938649	1.81043957822
394	Heart in Hand	0.993543453205	1.86836498563
395	Ray Parker Jr.	0.980289572942	1.67653929512
396	Yazoo	0.983866430275	1.72858659937
397	Baltimora	0.982185370484	1.74518003191
398	Heaven 17	0.985884621116	1.72138248853
399	Gary Numan	0.98885317	1.82172059911
400	Saycet	0.980664904597	2.16711757394
401	A Flock of Seagulls	0.98487112246	1.68758607626
402	Human Resource	0.97637824175	1.67151288065
403	Gravitation	0.985773914116	1.71749604355
404	Millionaire	0.991034546012	1.66934938674
405	Will Haven	0.989844898443	1.81270779377
406	Liars	0.995199748339	1.70732505571
407	Primal Scream	0.993925353093	1.68119163594
408	Icon for Hire	0.994261261787	1.71164647622
409	Kryptic Minds & Leon Switch	0.989131406558	1.96102594492
410	The Cardigans	0.989254111119	1.74814310706
411	Paradox	0.990979997437	1.73918726698
412	DJ Whoo Kid	0.980392587058	1.6227532426
413	Cranes	0.993773205795	1.74807818588
414	The Killers	0.997310778065	1.59458777998
415	DMX	0.992082585815	1.74006757853
416	Dolorian	0.994345474893	1.76920944424
417	Disturbed	0.995205907196	1.68754179408
418	The Spinners	0.972983259542	1.86008187718
419	E-40	0.987232025386	1.88395600681
420	Pungent Stench	0.99504367071	1.77032161961
421	Geto Boys	0.98938498967	1.68347357103
422	Hooverphonic	0.990476295355	1.76636445996
423	宇多田ヒカル	0.995872227047	1.7402107501
424	Рефлекс	0.980487770993	1.67522642233
425	Front 242	0.991323289654	1.7972554434
426	Sepultura	0.992903740045	1.86776215031
427	Rie fu	0.989646631373	1.81354362239
428	Mazzy Star	0.994694620405	1.66806936105
429	Blindfold	0.990536778273	1.94004002391
430	Guns N' Roses	0.996025467862	1.66671420981
431	Cue	0.982391173182	1.81437977474
432	8eight	0.985600980802	1.72700245798
433	Falkenbach	0.995230792517	1.84556924056
434	Portishead	0.994746349915	1.74988077657
435	The Get Up Kids	0.988427153318	1.83554655685
436	Godspeed You! Black Emperor	0.995768677297	1.61965495113
437	Nightmares on Wax	0.993861540307	1.69871748233
438	Glenn Miller	0.983738653883	1.82498705389
439	dEUS	0.993200346834	1.70406735688
440	Nappy Roots	0.988415372973	1.84085021231
441	Faithless	0.989902634702	1.77080250843
442	Avril Lavigne	0.996973558607	1.63630248997
443	David Lee Roth	0.982101097821	1.72167048402
444	Jadakiss	0.990975562122	1.71098927133
445	Lightning Bolt	0.993526945091	1.68286273374
446	Ben Roots	0.996804799084	1.00029480965
447	Mercury Rev	0.995477067167	1.6221164084
448	A Guy Called Gerald	0.978765792018	1.86876569302
449	The Birthday Massacre	0.995729792036	1.72292698933
450	Alesso & OneRepublic	0.985750120531	1.57513155217
451	Idlewild	0.988183362582	1.74708276134
452	Jackie Chain	0.987743500368	1.69855117294
453	Nicole	0.990906932604	1.76558918247
454	Billy Idol	0.985379366836	1.82238639335
455	Yerzmyey	0.979844775369	1.76584126601
456	Amon Tobin	0.994540979581	1.72343635093
457	Fear Factory	0.993998026519	1.77212429792
458	Mocky	0.979380069954	1.73240905801
459	Kraftwerk	0.994307316245	1.71566197533
460	Emperor	0.995118394289	1.71572953026
461	Damn Seagulls	0.990499370139	1.66139709106
462	Mauro Picotto	0.982735917174	1.66304818305
463	Underworld	0.992297172747	1.70412723116
464	Kyuss	0.996331980202	1.69326531811
465	Rockwell	0.979418757052	1.64145347173
466	mclusky	0.992948796266	1.7294783639
