	Z_0	Z_1	Z_2	Z_3	Z_4	Z_5	Z_6	Z_7	Z_8	Z_9	Z_10	Z_11	Z_12	Z_13	Z_14	Z_15	Z_16	Z_17	Z_18	Z_19	Z_20	Z_21	Z_22	Z_23	Z_24	Z_25	Z_26	Z_27	Z_28	Z_29
Z_20	0.00195137209293	0.00727177036547	0.00279880524844	0.0161027674825	0.00155270834474	0.0161319781924	0.000533750305043	0.000289815330644	0.00994261999391	0.00578868177724	0.000793599019101	0.00253386059354	0.00540077392263	0.013327293311	0.000209948668336	0.00334409399487	0.0064411976541	0.010607097146	0.00282996191821	0.00178310397934	0.826455345824	0.000370549847312	0.00334541846093	0.00479512976369	0.000949544430603	0.0118503232201	0.00230683956181	0.00128274277443	0.012700513622	0.00119315734536
Z_21	0.00790270443278	0.000334345678328	0.00392686506661	0.000310951876737	0.0786516296749	0.000647203638175	0.0200298247895	0.0277504433477	0.0115535439939	0.00181948398614	0.0425412679867	0.00385897715957	0.0306907680209	0.000219417659643	0.0298524065835	0.0167608371893	0.000552472604579	0.00202599842635	0.000742112336757	0.0103631131888	0.000561727199235	0.501436550527	0.00190059593707	0.00527767645098	0.115589380729	0.000264148865505	0.00210938643984	0.0308616355935	0.00100415132362	0.00284436321884
Z_22	0.00434893027064	0.00996091089561	0.0141740278109	0.0106066344466	0.00217823420162	0.0046825250532	0.00300406697902	0.00286190709867	0.00703848287335	0.0306441024992	0.00359353334541	0.0121301156973	0.00456128155952	0.00410294213885	0.00240927565149	0.000811356348191	0.00882597131713	0.00554577675018	0.00358710012716	0.00677016928202	0.00294956009113	0.0011053957265	0.742455303958	0.00239927550358	0.00292911596363	0.00742942803283	0.00457729690685	0.00451414415363	0.00872703435787	0.00478330932083
Z_23	0.018963990954	0.00626362907294	0.00409555204928	0.00747381115538	0.00556732107946	0.00902820199551	0.00151668301175	0.000918051662856	0.00821093157779	0.0127185780165	0.00745852860276	0.0298742355838	0.0361120241202	0.0401613960699	0.00433394381859	0.0165443281201	0.052640571591	0.00907254561348	0.00385624498435	0.0296626430616	0.00586049372029	0.00425498259722	0.00332588448502	0.61143290636	0.000736925137593	0.00817433887117	0.00559694039495	0.00363639190016	0.0160574359231	0.00799253882965
Z_24	0.00562492741303	0.000833947841786	0.00915439093885	0.000215589070303	0.00961242019503	0.00053945162797	0.022409453765	0.0576432474974	0.00528418076021	0.00265902919492	0.0284680993377	0.00098671461097	0.00533356227231	0.000271996142596	0.0282232559506	0.00455258332327	0.000790026180883	0.00257723626313	0.000392885675433	0.00515303144981	0.00133769085072	0.107418624832	0.00468026271993	0.000849434696514	0.65297981177	0.000265884734047	0.00274515952465	0.0104773689395	0.000714151245897	0.00109658920561
Z_25	0.0011424906411	0.0285420765258	0.00181637176135	0.00956639517426	0.000665938214958	0.00772199482606	0.00191485757009	0.000194797727609	0.00589653990591	0.0162928781546	0.000969648598775	0.00388806150391	0.00313359591404	0.0111020367082	0.000198440274524	0.000750237959322	0.0158146151329	0.0113851869424	0.00234751911897	0.00294322166993	0.0106491113091	0.000156586063285	0.00757236869418	0.00601038051055	0.000169604006564	0.771608486259	0.0174179483009	0.00109109714837	0.0123433789661	0.00101185246661
Z_26	0.00330146171241	0.0054921848791	0.00435809865384	0.00456111265105	0.00346931955646	0.00185810278141	0.00145060905475	0.00592938430702	0.0100094739393	0.00834260942838	0.00506658063406	0.00170310582132	0.00211666662908	0.00231189019834	0.00311703210603	0.00193747194993	0.00364169306129	0.0080497045568	0.000685592144122	0.0111838415501	0.00223525786254	0.00134830323202	0.0050305158873	0.0044373847004	0.00188815377584	0.0187812315473	0.822095632738	0.00673717834398	0.00362937267117	0.00449530540032
Z_27	0.0323051302521	0.000881372675915	0.0281052929238	0.0016969437734	0.028913920771	0.000781952176707	0.0400496735472	0.047705090122	0.0420523062388	0.00912670666547	0.0726526191573	0.00751982109744	0.00632312799331	0.00105787282062	0.0793977068018	0.00494502261155	0.0204203395701	0.0222398182298	0.0023473918344	0.0425646994346	0.00253629611875	0.0402532086521	0.0101234607744	0.00588297795899	0.0147052411636	0.00240071513446	0.0137476410358	0.452125659003	0.0124700054712	0.0985007214196
Z_28	0.0147978871967	0.0142165656175	0.00163598746504	0.0210787916903	0.00130395312399	0.0397174041132	0.00326871248086	0.000486938899837	0.00729211872431	0.00598434100992	0.00583743874757	0.00962350127046	0.0052887605095	0.0328988683018	0.00258812978169	0.00215325287819	0.0372625313345	0.0149211674431	0.00128604295395	0.0374962626154	0.0152332598221	0.000794496366584	0.011872206759	0.0157584653829	0.000608024805244	0.0164748874874	0.00449254968989	0.00756445822576	0.615049811447	0.0294030345914
Z_29	0.0791154268872	0.00226802193722	0.00635718866599	0.00235882190232	0.0145743902548	0.00359075233585	0.0169219367121	0.00270820517463	0.0186625058001	0.00591892029773	0.0613567743666	0.0193094751399	0.0109388547649	0.00580028696178	0.024987636885	0.00966962881845	0.052376972146	0.00956491547491	0.00289351481201	0.0850444015758	0.00226290164299	0.00355855922357	0.0102893899234	0.0124027752184	0.00147628925655	0.00213551183561	0.00879866778611	0.0944815457182	0.0464931047144	0.496847544146
